n_cases,cwad_n,cwad_d,cwad_rmse,swad_n,swad_d,swad_rmse,score,subset_type,included,excluded
8,39,0.9883331017236003,467.75358157141295,37,0.9770262499528111,435.5824758014264,0.19957599853807434,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2201_2; UFJA2201_3
8,38,0.9882100599876751,471.3371578189909,36,0.9767292579975866,441.7381549357074,0.19968247984462267,subset_min_8,UFCI2101_1; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2201_2
8,37,0.9881331597906915,467.46311626179397,36,0.9769512573735416,436.82986001637863,0.19970108288678914,subset_min_8,UFCI2101_1; UFCI2101_3; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_4; UFJA2201_2
8,39,0.9870527052359304,465.30958730499674,36,0.9759693991360425,440.39346923939,0.1997047034169891,subset_min_8,UFCI2101_1; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_3; UFJA2201_2
8,39,0.9885259240364603,469.2026266993698,37,0.9772942009310018,436.9777567731445,0.1997690803322376,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFCI2201_3; UFJA2101_2; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_4; UFJA2101_1; UFJA2101_3; UFJA2201_2; UFJA2201_3
8,36,0.9874038294732503,460.1565092065976,34,0.9750937847581164,434.0692924861326,0.19984378868634026,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2201_1; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_3; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_2; UFJA2201_2
8,38,0.9882342639513503,466.14462935105104,37,0.9769513743196411,434.82772143701357,0.19986474180588765,subset_min_8,UFCI2101_1; UFCI2101_2; UFJA2101_1; UFJA2101_2; UFJA2101_3; UFJA2101_4; UFJA2201_1; UFJA2201_4,UFCI2101_3; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2201_2; UFJA2201_3
8,36,0.9882259998424524,474.1014339459666,35,0.9770762774692244,442.899754811832,0.19989506048242142,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_2; UFJA2101_3; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_1; UFJA2101_4; UFJA2201_2
8,37,0.9883587829603746,468.99130657336144,36,0.9772354250219765,438.2597538107536,0.19995002679543802,subset_min_8,UFCI2101_1; UFCI2101_2; UFCI2101_3; UFJA2101_1; UFJA2101_2; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2201_1; UFCI2201_2; UFCI2201_3; UFCI2201_4; UFJA2101_3; UFJA2101_4; UFJA2201_2
8,36,0.9862845913561308,460.6629865748487,33,0.9758691938051514,425.01045743197193,0.2000206736877092,subset_min_8,UFCI2101_1; UFCI2101_3; UFCI2201_4; UFJA2101_1; UFJA2101_4; UFJA2201_1; UFJA2201_3; UFJA2201_4,UFCI2101_2; UFCI2201_1; UFCI2201_2; UFCI2201_3; UFJA2101_2; UFJA2101_3; UFJA2201_2
